date,time,wind speed,wind direction,temperature,humidity,rain counter
23-1-2018,0:00:13,4,SSW,64.2,87,88
23-1-2018,0:00:28,2,SSW,64.2,87,88
23-1-2018,0:00:43,2,SSW,64.2,87,88
23-1-2018,0:00:58,1,SSW,64.2,87,88
23-1-2018,0:01:13,1,SSW,64.2,87,88
23-1-2018,0:01:28,2,SSW,64.2,87,88
23-1-2018,0:01:43,1,SSW,64.2,87,88
23-1-2018,0:01:58,1.5,SSW,64.2,87,88
23-1-2018,0:02:13,4,S,64.2,87,88
23-1-2018,0:02:28,2.5,S,64.2,87,88
23-1-2018,0:02:43,2.5,S,64.2,87,88
23-1-2018,0:02:58,2,SSW,64.2,87,88
23-1-2018,0:03:13,1.5,SSW,64.2,87,88
23-1-2018,0:03:28,3,S,64.2,87,88
23-1-2018,0:03:43,1.5,S,64.2,87,89
23-1-2018,0:03:58,3.5,S,64.2,87,89
23-1-2018,0:04:13,3.5,S,64.2,87,89
23-1-2018,0:04:28,2.5,S,64.2,87,89
23-1-2018,0:04:43,3.5,S,64.2,87,89
23-1-2018,0:04:58,2,S,64.2,87,89
23-1-2018,0:05:13,3.5,SW,68.2,87,89
23-1-2018,0:05:28,2.5,SW,64.2,87,89
23-1-2018,0:05:43,2.5,SW,64.2,87,89
23-1-2018,0:05:58,2,S,64.2,87,89
23-1-2018,0:06:13,2,S,64.2,87,89